Pmodel,Task,OpType,Opt,LNum InsCount,,Timer,AvTime,AbsErr,RelErr,TaskPerf
 Pentium(R) Dual-Core CPU T4500 @ 2.30GHz , sin , int , None ,10,1000, clock() , 0.008944 , 0.000556 , 0.000006 , 1118067.978533 
 Pentium(R) Dual-Core CPU T4500 @ 2.30GHz , sin , float , None ,10,1000, clock() , 0.008658 , 0.000433 , 0.000005 , 1154934.457470 
 Pentium(R) Dual-Core CPU T4500 @ 2.30GHz , sin , double , None ,10,1000, clock() , 0.008501 , 0.000071 , 0.000001 , 1176304.521715 
 Pentium(R) Dual-Core CPU T4500 @ 2.30GHz , cos , int , None ,10,1000, clock() , 0.008943 , 0.000054 , 0.000001 , 1118255.521387 
 Pentium(R) Dual-Core CPU T4500 @ 2.30GHz , cos , float , None ,10,1000, clock() , 0.008648 , 0.000035 , 0.000000 , 1156390.212313 
 Pentium(R) Dual-Core CPU T4500 @ 2.30GHz , cos , double , None ,10,1000, clock() , 0.008524 , 0.000091 , 0.000001 , 1173116.854170 
 Pentium(R) Dual-Core CPU T4500 @ 2.30GHz , tan , int , None ,10,1000, clock() , 0.009442 , 0.000142 , 0.000001 , 1059041.567382 
 Pentium(R) Dual-Core CPU T4500 @ 2.30GHz , tan , float , None ,10,1000, clock() , 0.009110 , 0.000073 , 0.000001 , 1097646.645592 
 Pentium(R) Dual-Core CPU T4500 @ 2.30GHz , tan , double , None ,10,1000, clock() , 0.009231 , 0.000510 , 0.000006 , 1083341.458394 
 Pentium(R) Dual-Core CPU T4500 @ 2.30GHz , sin , int , -O1 ,10,1000, clock() , 0.007966 , 0.000714 , 0.000009 , 1255382.452264 
 Pentium(R) Dual-Core CPU T4500 @ 2.30GHz , sin , float , -O1 ,10,1000, clock() , 0.008005 , 0.000677 , 0.000008 , 1249234.843658 
 Pentium(R) Dual-Core CPU T4500 @ 2.30GHz , sin , double , -O1 ,10,1000, clock() , 0.007766 , 0.000134 , 0.000002 , 1287631.016456 
 Pentium(R) Dual-Core CPU T4500 @ 2.30GHz , cos , int , -O1 ,10,1000, clock() , 0.007737 , 0.000032 , 0.000000 , 1292423.811616 
 Pentium(R) Dual-Core CPU T4500 @ 2.30GHz , cos , float , -O1 ,10,1000, clock() , 0.007708 , 0.000019 , 0.000000 , 1297387.062456 
