MemoryType, BlockSize, ElementType, BufferSize, LaunchNum, Timer, WriteTime, AverageWriteTime, WriteBandwidth, AbsError(write), RelError(write), ReadTime, AverageReadTime, ReadBandwidth, AbsError(read), RelError(read)
RAM, 65536, double, 8192, 1, clock(), 0.006410, 0.006410, 10224024.960998, 0.000000, 0.000000, 0.006649, 0.006649, 9856519.777409, 0.000000, 0.000000
RAM, 65536, double, 8192, 2, clock(), 0.006407, 0.006409, 10226418.038542, 0.000002, 0.023406, 0.006652, 0.006651, 9854296.669423, 0.000001, 0.022555
RAM, 65536, double, 8192, 3, clock(), 0.006392, 0.006403, 10235202.248945, 0.000008, 0.122974, 0.006741, 0.006681, 9809799.421215, 0.000043, 0.638854
RAM, 65536, double, 8192, 4, clock(), 0.006413, 0.006406, 10231207.556006, 0.000008, 0.126106, 0.006663, 0.006676, 9816289.084440, 0.000038, 0.565363
RAM, 65536, double, 8192, 5, clock(), 0.006420, 0.006408, 10226577.616877, 0.000009, 0.144576, 0.006664, 0.006674, 9819892.714794, 0.000034, 0.511162
RAM, 65536, double, 8192, 6, clock(), 0.006392, 0.006406, 10230941.354009, 0.000010, 0.162902, 0.006702, 0.006679, 9812981.957025, 0.000033, 0.492134
RAM, 65536, double, 8192, 7, clock(), 0.006427, 0.006409, 10226076.101736, 0.000012, 0.190507, 0.006629, 0.006671, 9823383.297644, 0.000035, 0.524831
RAM, 65536, double, 8192, 8, clock(), 0.006393, 0.006407, 10229211.378623, 0.000013, 0.195847, 0.006597, 0.006662, 9837101.525413, 0.000041, 0.614981
RAM, 65536, double, 8192, 9, clock(), 0.006414, 0.006408, 10227925.365887, 0.000012, 0.188016, 0.006662, 0.006662, 9837122.033389, 0.000039, 0.579812
RAM, 65536, double, 8192, 10, clock(), 0.006393, 0.006406, 10230249.293641, 0.000012, 0.190987, 0.006642, 0.006660, 9840092.491103, 0.000037, 0.557631
RAM, 65536, double, 8192, 11, clock(), 0.006411, 0.006407, 10229537.972527, 0.000012, 0.183409, 0.006635, 0.006658, 9843464.962586, 0.000036, 0.542793
RAM, 65536, double, 8192, 12, clock(), 0.006431, 0.006409, 10226285.060400, 0.000013, 0.204790, 0.006598, 0.006653, 9850840.494024, 0.000038, 0.576397
RAM, 65536, double, 8192, 13, clock(), 0.006415, 0.006409, 10225497.491538, 0.000013, 0.198541, 0.006653, 0.006653, 9850821.510746, 0.000037, 0.553784
RAM, 65536, double, 8192, 14, clock(), 0.006430, 0.006411, 10223113.606988, 0.000013, 0.208929, 0.006521, 0.006643, 9864785.824874, 0.000049, 0.739471
RAM, 65536, double, 8192, 15, clock(), 0.006388, 0.006409, 10225513.855371, 0.000014, 0.220177, 0.006633, 0.006643, 9865818.287652, 0.000048, 0.715544
RAM, 65536, double, 8192, 16, clock(), 0.006378, 0.006407, 10228612.677292, 0.000016, 0.243416, 0.006568, 0.006638, 9872760.312214, 0.000049, 0.744947
RAM, 65536, double, 8192, 17, clock(), 0.006468, 0.006411, 10222899.194362, 0.000021, 0.325000, 0.006583, 0.006635, 9877579.970210, 0.000050, 0.748961
RAM, 65536, double, 8192, 18, clock(), 0.006405, 0.006410, 10223404.716302, 0.000020, 0.316517, 0.006619, 0.006634, 9878888.879583, 0.000048, 0.730004
RAM, 65536, double, 8192, 19, clock(), 0.006394, 0.006410, 10224780.548689, 0.000020, 0.313362, 0.006638, 0.006634, 9878571.031899, 0.000047, 0.710642
RAM, 65536, double, 8192, 20, clock(), 0.006418, 0.006410, 10224104.712204, 0.000020, 0.306763, 0.006619, 0.006633, 9879699.701510, 0.000046, 0.694515
